"Rank","NASA","TA","EXT","AGR","CS","NT","OP","AV","EM","Task","H","RS","WH","TWR","BR","NP","SR","AP","AR","DWH","DWR","T","DS"
"Professor",20,25,10,10,9,5,8,23,7,33,47,2,3,60,2,2,2,2,4,4,80,3,2
"Assistant Professor",21,51,4,7,6,8,4,24,23,22,21,2,4,50,2,2,1,4,5,4,70,1,3
"Professor",13,31,8,9,6,2,10,15,10,29,29,2,3,40,2,1,2,3,5,5,60,3,3
"Professor",15,40,5,7,8,5,7,20,17,30,43,2,3,30,2,1,1,3,3,4,40,3,2
"Associate Professor",20,29,4,7,10,6,7,16,10,28,30,1,4,50,2,3,1,2,5,5,60,3,2
"Professor",22,39,5,8,10,4,9,24,25,31,1e+61,2,4,30,2,2,3,3,5,5,80,1,3
"Assistant Professor",6,37,2,5,8,4,6,18,16,25,6,1,3,30,3,2,1,3,2,5,50,1,3
"Professor",27,47,8,5,10,8,4,12,14,28,7,1,4,20,3,NA,NA,NA,NA,NA,NA,NA,NA
"Associate Professor",31,27,9,10,10,4,10,31,11,35,15,2,4,30,3,2,1,4,5,5,50,3,3
"Professor",11,20,8,4,5,2,6,21,7,33,23,1,2,20,2,1,2,4,5,4,30,3,2
"Associate Professor",20,52,2,7,9,7,8,13,26,26,37,2,4,50,3,1,3,2,2,1,90,1,3
"Assistant Professor",31,47,8,5,9,9,9,19,26,30,16,2,3,40,3,1,1,2,3,5,80,3,3
"Associate Professor",25,52,3,8,10,7,10,21,24,26,15,2,4,40,3,1,1,4,5,5,80,2,3
"Assistant Professor",22,49,6,5,10,4,7,24,19,29,11,2,4,40,2,3,1,4,3,4,70,2,2
"Professor",18,40,6,6,9,10,7,10,13,31,39,1,3,40,3,1,2,4,2,5,90,3,1
"Professor",21,30,7,9,10,5,9,14,14,29,49,1,4,50,2,1,3,3,5,5,60,1,3
"Associate Professor",26,41,3,6,10,6,7,11,16,30,42,1,4,50,2,2,1,3,3,3,60,3,2
"Assistant Professor",20,38,6,5,6,4,10,20,12,31,9,2,4,40,1,1,1,2,4,5,80,1,3
"Assistant Professor",14,30,9,10,8,4,5,18,27,28,162,1,2,60,2,1,2,2,1,4,90,1,3
"Professor",21,31,10,9,10,3,10,17,11,33,56,1,4,20,4,1,1,2,1,5,60,3,3
"Associate Professor",25,40,8,8,9,3,10,19,19,35,7,2,4,20,3,2,1,4,5,5,30,2,3
"Assistant Professor",16,31,8,7,10,3,10,15,18,35,10,2,4,50,3,3,1,3,4,5,70,3,3
"Associate Professor",13,38,4,9,10,5,6,29,21,26,13,2,2,40,2,2,1,4,4,3,50,3,1
"Professor",25,25,5,8,10,2,6,19,13,34,30,1,4,60,3,2,1,4,3,5,70,3,3
"Professor",20,52,4,7,10,9,10,22,28,25,38,1,4,40,2,2,2,3,4,5,60,1,3
"Professor",23,36,6,8,5,5,8,13,14,27,28,2,4,20,1,NA,NA,NA,NA,NA,NA,NA,NA
"Associate Professor",18,32,9,7,5,4,9,28,18,27,20,2,3,30,1,2,1,2,2,5,60,3,3
"Professor",21,47,8,8,10,6,8,12,24,27,46,2,3,30,2,3,1,3,1,5,60,3,3
"Professor",15,48,2,6,6,8,5,17,24,30,29,1,3,30,2,1,1,3,5,5,80,1,3
"Associate Professor",24,41,5,8,10,7,9,25,19,31,29,2,4,50,3,1,3,4,3,4,60,3,3
"Assistant Professor",24,39,10,9,8,4,9,19,17,23,3,1,3,30,4,3,1,2,2,5,60,2,2
"Professor",15,68,5,6,7,10,5,21,31,28,16,2,3,50,1,3,1,1,4,5,50,1,3
"Professor",18,57,6,5,8,7,10,12,27,31,19,1,4,50,1,1,1,3,3,5,70,2,3
"Assistant Professor",22,46,4,8,10,6,8,20,23,29,38,2,4,60,2,2,1,3,2,4,80,3,3
"Professor",24,21,7,10,10,2,5,19,9,35,61,2,4,70,3,1,3,4,5,5,90,3,2
"Associate Professor",20,48,10,8,9,4,10,22,23,25,21,2,3,30,2,1,1,3,3,5,70,2,3
"Professor",26,32,5,7,9,4,7,13,11,30,28,1,4,30,3,2,1,4,3,4,60,3,2
"Professor",14,28,7,7,10,3,10,16,15,35,99,2,3,70,2,1,1,2,4,1,80,2,3
"Associate Professor",18,49,4,7,7,7,5,17,21,25,15,2,3,50,2,1,1,4,4,5,70,2,3
"Assistant Professor",17,60,5,6,7,5,9,17,26,24,2,2,1,60,2,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Professor",33,40,3,5,10,6,6,18,18,30,22,2,3,60,2,3,1,4,4,4,70,3,3
"Assistant Professor",21,40,6,9,10,6,6,20,18,34,6,1,2,60,2,NA,NA,NA,NA,NA,NA,NA,NA
"Professor",24,46,7,8,9,2,10,10,22,32,35,2,4,20,3,2,1,4,5,4,70,3,2
"Professor",28,53,7,7,10,6,6,21,14,22,15,2,4,10,2,1,1,4,3,5,50,3,3
"Associate Professor",32,46,4,6,8,6,5,15,18,34,23,2,4,50,4,1,1,3,5,4,70,3,2
"Assistant Professor",28,37,5,7,10,5,8,15,17,29,17,2,3,40,3,1,1,4,5,5,80,3,3
"Assistant Professor",19,44,8,10,6,5,8,21,14,27,11,2,4,50,1,3,1,3,2,5,80,2,3
"Associate Professor",29,44,6,5,7,5,5,22,26,26,23,1,3,60,1,1,2,2,3,5,90,1,3
"Professor",23,36,5,8,10,4,10,11,12,23,29,1,4,60,3,1,2,4,4,4,70,3,3
"Associate Professor",24,38,6,9,10,5,6,14,17,31,9,2,4,30,4,1,3,4,4,5,60,3,3
"Assistant Professor",26,30,7,6,8,3,6,16,10,32,34,2,3,40,3,2,1,4,1,5,70,3,3
"Professor",18,36,8,8,10,3,10,11,12,30,0,2,3,40,3,NA,NA,NA,NA,NA,NA,NA,NA
"Professor",12,39,9,10,8,5,9,18,12,30,51,1,4,30,3,1,3,3,4,5,70,3,3
"Associate Professor",21,39,4,7,5,4,8,22,15,30,23,2,4,50,2,3,1,3,4,5,80,1,2
"Associate Professor",19,52,6,6,8,9,6,16,22,29,15,2,4,50,1,2,1,2,4,4,70,1,3
"Assistant Professor",23,44,5,4,9,7,8,22,24,28,10,1,2,50,2,3,1,4,5,5,80,3,3
"Associate Professor",20,49,9,5,5,7,10,30,20,28,999,2,4,60,3,1,1,4,5,5,80,3,1
"Professor",19,31,4,7,10,3,7,15,8,33,24,1,3,60,2,1,2,4,3,3,70,3,2
"Professor",24,38,5,7,7,4,8,14,17,29,17,2,4,30,2,1,1,4,4,3,30,3,2
"Professor",16,29,10,6,9,3,7,23,17,34,15,2,2,40,2,2,2,4,4,4,70,2,3
"Professor",19,48,7,5,6,8,6,25,28,24,22,2,4,20,3,1,1,4,5,5,80,1,3
"Professor",25,40,5,8,8,4,7,18,19,28,22,1,4,20,4,3,1,3,2,4,40,2,3
"Assistant Professor",21,51,10,8,6,8,8,20,21,19,17,2,4,50,2,2,1,2,3,5,90,1,3
"Associate Professor",30,44,10,8,5,6,8,22,18,26,21,1,4,40,2,3,1,3,4,5,50,1,3
"Professor",26,58,3,8,9,4,6,11,23,28,45,1,3,20,3,1,3,3,5,5,60,1,3
"Professor",20,29,5,8,10,4,7,19,18,29,55,1,4,60,3,3,1,4,4,4,20,1,3
"Associate Professor",24,60,6,7,7,7,6,20,30,28,15,1,4,30,3,3,1,3,2,5,60,1,3
"Assistant Professor",27,58,7,7,9,8,8,20,27,32,2,2,2,40,2,1,1,2,4,5,70,3,3
"Assistant Professor",30,60,5,8,8,6,9,26,20,26,21,2,4,30,4,3,1,3,2,5,40,2,3
"Assistant Professor",22,45,4,7,8,8,4,19,24,29,16,2,4,40,3,1,3,3,2,5,50,2,3
"Professor",28,58,6,8,9,9,7,21,31,25,40,2,3,10,2,2,1,1,5,4,20,2,3
"Professor",18,31,8,9,7,2,6,23,8,28,0,2,2,50,2,1,1,2,2,4,70,3,2
"Assistant Professor",23,45,9,7,8,8,9,22,23,26,13,2,4,20,3,2,1,3,3,4,70,3,3
"Assistant Professor",20,34,8,9,9,3,6,23,17,27,13,2,4,40,3,1,1,4,5,5,70,1,3
"Professor",18,48,4,7,8,10,7,13,24,27,26,1,3,10,3,2,3,3,2,4,50,3,3
"Professor",20,65,4,6,8,8,8,15,26,22,0,2,4,20,3,1,1,4,5,5,0,3,3
"Professor",18,35,6,5,9,6,5,13,13,26,49,2,4,60,2,3,1,3,5,5,80,1,3
"Professor",25,33,4,7,10,5,10,17,16,29,34,2,4,20,2,3,1,4,3,5,50,3,2
